"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"05:38:27.1266115","BxlServer.exe","13184","TCP Receive","win10-dev:13414 -> win10-dev:13273","SUCCESS","Length: 217, seqnum: 0, connid: 0"
"05:38:27.1270988","BxlServer.exe","13184","TCP Receive","win10-dev:13414 -> win10-dev:13273","SUCCESS","Length: 17, seqnum: 0, connid: 0"
"05:38:27.1280181","BxlServer.exe","13184","TCP Receive","win10-dev:13414 -> win10-dev:13273","SUCCESS","Length: 2227, seqnum: 0, connid: 0"
"05:38:27.1280558","BxlServer.exe","13184","TCP Receive","win10-dev:13414 -> win10-dev:13273","SUCCESS","Length: 28, seqnum: 0, connid: 0"
"05:38:27.1979215","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13415 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 37, seqnum: 0, connid: 0"
"05:38:27.1994767","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13415 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 1245, seqnum: 0, connid: 0"
"05:38:27.2028174","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13415 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 67, seqnum: 0, connid: 0"
"05:38:27.2095172","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13415 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 405, seqnum: 0, connid: 0"
"05:38:27.2114676","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13416 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 37, seqnum: 0, connid: 0"
"05:38:27.2128614","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13416 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 1245, seqnum: 0, connid: 0"
"05:38:27.2161795","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13416 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 67, seqnum: 0, connid: 0"
"05:38:27.2182163","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13416 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 405, seqnum: 0, connid: 0"
"05:38:27.2189397","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13416 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 138, seqnum: 0, connid: 0"
"05:38:27.2192816","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13416 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 22, seqnum: 0, connid: 0"
"05:38:27.2235485","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13417 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 37, seqnum: 0, connid: 0"
"05:38:27.2250060","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13417 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 1245, seqnum: 0, connid: 0"
"05:38:27.2304314","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13417 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 67, seqnum: 0, connid: 0"
"05:38:27.2324727","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13417 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 405, seqnum: 0, connid: 0"
"05:38:27.2327908","BxlServer.exe","13184","TCP Receive","win10-dev.Home:13417 -> win10-dev.Home:ms-sql-s","SUCCESS","Length: 133, seqnum: 0, connid: 0"
"05:38:27.2526383","BxlServer.exe","13184","TCP Receive","win10-dev:13414 -> win10-dev:13273","SUCCESS","Length: 28, seqnum: 0, connid: 0"
"05:38:27.2529716","BxlServer.exe","13184","TCP Receive","win10-dev:13414 -> win10-dev:13273","SUCCESS","Length: 28, seqnum: 0, connid: 0"
"05:38:27.2533569","BxlServer.exe","13184","TCP Receive","win10-dev:13414 -> win10-dev:13273","SUCCESS","Length: 0, seqnum: 0, connid: 0"
